               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.031759,            0.036628,           0.0025501,             0.62911,             0.58465,             0.59349,             0.26787,            0.038007,            0.015862,            0.010014,           0.0068906,           0.0068906,           0.0068906
                  62,            0.031583,             0.03093,           0.0025436,             0.62767,             0.56765,             0.58832,             0.27076,             0.03849,            0.015458,           0.0083285,           0.0068006,           0.0068006,           0.0068006
                  63,            0.031696,            0.034947,           0.0022019,             0.61372,             0.62304,             0.61074,             0.27457,            0.036949,            0.015538,           0.0089494,           0.0067101,           0.0067101,           0.0067101
                  64,            0.031956,            0.037038,           0.0023215,             0.61337,             0.59718,             0.60198,             0.26771,            0.038286,            0.015528,           0.0092387,           0.0066191,           0.0066191,           0.0066191
                  65,            0.031961,            0.033529,           0.0025319,             0.58569,             0.62512,             0.60516,             0.27662,            0.037056,            0.015894,           0.0093042,           0.0065276,           0.0065276,           0.0065276
                  66,            0.031376,             0.03291,           0.0020135,             0.62687,              0.6103,             0.61604,             0.27991,            0.037275,            0.015888,            0.010537,           0.0064356,           0.0064356,           0.0064356
                  67,            0.031765,            0.034111,           0.0019498,             0.64182,             0.58189,             0.59787,              0.2737,            0.037356,            0.015538,            0.010329,           0.0063432,           0.0063432,           0.0063432
                  68,            0.031675,            0.031139,             0.00248,             0.61705,             0.61322,             0.61024,             0.27921,            0.037184,            0.015793,           0.0095581,           0.0062505,           0.0062505,           0.0062505
                  69,            0.030683,            0.033881,           0.0020481,             0.63346,             0.59943,             0.61097,             0.28161,            0.037543,             0.01594,           0.0096648,           0.0061574,           0.0061574,           0.0061574
                  70,            0.030514,            0.029839,           0.0024706,             0.59591,             0.61562,             0.58519,             0.26332,             0.03741,            0.015839,           0.0097782,            0.006064,            0.006064,            0.006064
                  71,            0.029515,            0.032328,           0.0019397,              0.6185,             0.58175,             0.59838,             0.28103,            0.036724,            0.015945,           0.0092641,           0.0059704,           0.0059704,           0.0059704
                  72,            0.030544,            0.035506,           0.0017856,             0.60355,             0.60249,             0.59801,              0.2682,            0.037146,            0.016067,           0.0091707,           0.0058766,           0.0058766,           0.0058766
                  73,            0.031594,            0.035017,            0.002621,             0.61914,             0.59372,             0.60003,              0.2783,            0.037145,            0.015938,           0.0098115,           0.0057826,           0.0057826,           0.0057826
                  74,              0.0297,            0.032746,           0.0018506,             0.64376,             0.60586,             0.62478,             0.29363,            0.036299,            0.015699,           0.0090272,           0.0056884,           0.0056884,           0.0056884
                  75,            0.030454,            0.033085,           0.0018795,             0.61446,             0.62169,             0.61928,             0.28442,            0.036312,            0.015764,           0.0094966,           0.0055942,           0.0055942,           0.0055942
                  76,            0.029986,            0.034676,           0.0022057,             0.57719,             0.64063,             0.60804,             0.28207,            0.037234,            0.015715,           0.0092494,              0.0055,              0.0055,              0.0055
                  77,            0.029787,            0.033975,           0.0015132,             0.62929,             0.59483,             0.60615,             0.26884,            0.037865,            0.015485,           0.0095614,           0.0054058,           0.0054058,           0.0054058
                  78,            0.029498,            0.032337,           0.0015341,             0.62169,             0.61838,             0.62234,             0.28995,            0.036774,            0.015755,           0.0097592,           0.0053116,           0.0053116,           0.0053116
                  79,            0.029286,            0.031271,           0.0017355,             0.63415,              0.5964,             0.60578,             0.28285,            0.037167,            0.015913,            0.010051,           0.0052174,           0.0052174,           0.0052174
                  80,            0.029078,            0.030113,           0.0016656,             0.62762,             0.62478,             0.61426,             0.29138,            0.036275,            0.015831,            0.010501,           0.0051234,           0.0051234,           0.0051234
                  81,            0.029663,            0.032046,           0.0014131,             0.61495,             0.62154,             0.62349,             0.29241,            0.036483,            0.015667,            0.010516,           0.0050296,           0.0050296,           0.0050296
                  82,            0.028825,            0.032869,           0.0016511,              0.6558,             0.60769,             0.62337,             0.29294,            0.037142,            0.016031,            0.010316,            0.004936,            0.004936,            0.004936
                  83,            0.028771,            0.034814,           0.0018876,             0.62836,             0.62356,             0.62723,             0.29596,            0.036505,            0.015653,           0.0097361,           0.0048426,           0.0048426,           0.0048426
                  84,            0.029032,            0.035914,           0.0019563,             0.64532,              0.6025,             0.63028,             0.29401,            0.036322,            0.015668,           0.0097866,           0.0047495,           0.0047495,           0.0047495
                  85,            0.028153,            0.029377,            0.001766,             0.63335,             0.60485,             0.61333,             0.29014,            0.037112,            0.016037,            0.010763,           0.0046568,           0.0046568,           0.0046568
                  86,            0.028772,            0.030967,           0.0016067,             0.62183,              0.6421,             0.63043,             0.29044,            0.036999,             0.01587,            0.010211,           0.0045644,           0.0045644,           0.0045644
                  87,            0.028572,            0.034063,           0.0017185,             0.64947,             0.58387,             0.60971,             0.29455,            0.037189,            0.015961,           0.0091944,           0.0044724,           0.0044724,           0.0044724
                  88,            0.028994,            0.032955,           0.0014351,             0.61094,             0.63431,             0.61891,             0.29448,            0.036477,            0.015919,           0.0092307,           0.0043809,           0.0043809,           0.0043809
