   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.65516,             0.43579,             0.47927,             0.18146,            0.037909,            0.029962,           0.0088079,             0.01055,             0.10819,             0.83142,              0.0006,              3.8027,             0.86087,             0.12213,             0.03985,             0.34411,              1.1616,              1.0137,             0.69378,                 0.2,               5.003,                   0,             0.01688,             0.44451,             0.48961,                   0,             0.08941,             0.61983,                   0,                   0,                   0,                 0.5,             0.93287,                   0,                   0,              3.0747
             0.62316,             0.51472,             0.51292,             0.20969,            0.040775,            0.044264,           0.0074201,             0.01431,              0.1021,             0.89956,             0.00063,              2.8302,                0.95,             0.12048,             0.04745,             0.34798,              1.1024,              1.3393,             0.80665,                 0.2,              5.3215,                   0,             0.01194,             0.44921,              0.4611,                   0,              0.0943,             0.49595,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8789
             0.60677,             0.49792,             0.47981,              0.1904,            0.044786,            0.041117,           0.0083906,             0.01259,             0.10639,             0.86822,             0.00045,              3.5546,             0.89177,             0.10944,             0.05005,             0.35338,              1.0744,              1.3225,             0.76742,                 0.2,               5.003,                   0,             0.01227,             0.47551,              0.4178,                   0,             0.10022,             0.57571,                   0,                   0,                   0,                 0.5,             0.80374,                   0,                   0,              2.8485
             0.65317,             0.46375,             0.49666,             0.20775,             0.05208,            0.024812,           0.0088722,             0.01285,             0.09062,             0.86502,             0.00064,              3.4612,                0.95,             0.14153,             0.06197,             0.41836,             0.99864,             0.94214,             0.68481,                 0.2,              4.5239,                   0,             0.01169,              0.4658,             0.45458,                   0,             0.18191,              0.1811,                   0,                   0,                   0,                 0.5,             0.94537,                   0,                   0,              2.4213
             0.65329,             0.50303,             0.50845,             0.20097,            0.055718,            0.032702,           0.0094098,             0.01498,             0.08509,             0.86547,             0.00054,              4.2077,             0.88313,             0.15556,             0.06243,             0.34411,              1.0628,              1.0776,             0.73243,                 0.2,              5.1924,                   0,             0.01526,             0.40683,             0.40275,                   0,             0.14085,             0.38213,                   0,                   0,                   0,                 0.5,              0.8908,                   0,                   0,              3.1429
             0.64189,              0.4821,             0.51645,             0.21431,            0.041734,             0.04496,           0.0082005,             0.01423,             0.09796,             0.88054,             0.00071,               3.944,                0.95,             0.11629,              0.0463,             0.41195,              0.9514,              1.3512,             0.79842,                 0.2,              5.9085,                   0,             0.01215,             0.51472,             0.32837,                   0,             0.13892,             0.44066,                   0,                   0,                   0,                 0.5,             0.64853,                   0,                   0,              3.1429
             0.64523,             0.46769,             0.48978,             0.19792,            0.051039,            0.043394,            0.008021,             0.01381,             0.11324,             0.89491,             0.00059,              3.2501,             0.85558,             0.12213,             0.05696,             0.33023,              1.0381,               1.401,             0.72761,                 0.2,                5.75,                   0,              0.0117,             0.47054,              0.4178,                   0,             0.09655,             0.49343,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2902
             0.62381,             0.48833,             0.46961,             0.18839,            0.045878,             0.04165,            0.012641,             0.01423,             0.10207,             0.86912,             0.00075,              4.0854,              0.9317,             0.11736,             0.05308,             0.35114,             0.79576,              1.3199,             0.79842,                 0.2,              4.8482,                   0,             0.01359,              0.4344,             0.42922,                   0,             0.14333,             0.44509,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.6478
              0.6418,             0.49307,             0.51141,             0.20095,            0.047386,            0.044216,           0.0086215,             0.01396,             0.10295,             0.85637,             0.00055,              4.0287,             0.93006,             0.13571,             0.05422,             0.37433,              0.7522,               1.381,             0.79842,                 0.2,              4.9192,                   0,             0.01216,                 0.4,             0.40784,                   0,             0.16251,             0.54071,                   0,                   0,                   0,                 0.5,             0.93171,                   0,                   0,              3.1429
             0.63138,             0.51078,             0.52325,             0.21882,            0.041482,            0.039858,           0.0075281,              0.0146,             0.09757,             0.87628,             0.00064,              3.9053,                0.95,             0.12302,             0.04779,             0.33297,             0.87182,              1.3024,             0.74501,                 0.2,              5.1445,                   0,             0.01492,             0.42766,             0.40779,                   0,             0.14597,             0.44627,                   0,                   0,                   0,                 0.5,             0.85372,                   0,                   0,              2.6518
             0.69776,             0.47308,             0.51821,             0.20976,            0.040332,            0.053966,           0.0085524,             0.01998,             0.07801,             0.85258,             0.00076,              3.3638,             0.83747,             0.11151,             0.04579,             0.34596,              0.9514,              1.6637,             0.78623,                 0.2,              5.9085,                   0,             0.01215,             0.59955,              0.3451,                   0,             0.14461,             0.39071,                   0,                   0,                   0,                 0.5,             0.64853,                   0,                   0,              4.3203
