               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.028593,            0.030726,           0.0015429,             0.77693,             0.69155,              0.7678,             0.41805,            0.030385,             0.01277,           0.0042545,           0.0054293,           0.0054293,           0.0054293
                 103,            0.029021,            0.033831,           0.0012474,             0.72908,             0.75374,             0.79739,             0.44414,            0.029921,            0.012625,           0.0038476,           0.0053587,           0.0053587,           0.0053587
                 104,            0.028993,            0.032695,           0.0015416,             0.76093,             0.73322,             0.79745,             0.44512,            0.030485,            0.012704,            0.003271,            0.005288,            0.005288,            0.005288
                 105,            0.029013,            0.033747,           0.0014211,              0.6973,             0.75157,             0.77185,             0.43382,            0.030167,            0.012725,           0.0039783,           0.0052174,           0.0052174,           0.0052174
                 106,            0.027923,            0.032412,           0.0015324,              0.7587,             0.73812,             0.78652,              0.4412,            0.030649,             0.01261,           0.0047139,           0.0051469,           0.0051469,           0.0051469
                 107,            0.028595,            0.034013,           0.0014279,             0.72382,             0.74353,             0.79387,             0.42747,            0.030986,            0.012767,           0.0044622,           0.0050765,           0.0050765,           0.0050765
                 108,            0.028404,            0.031968,           0.0016039,             0.75982,             0.71894,             0.79188,             0.44887,            0.030488,            0.012589,           0.0037181,           0.0050062,           0.0050062,           0.0050062
                 109,            0.028757,            0.032241,           0.0018222,              0.7311,             0.74283,             0.78715,             0.45006,            0.030758,            0.012597,           0.0033575,            0.004936,            0.004936,            0.004936
                 110,             0.02821,            0.032854,           0.0014048,             0.75761,             0.73087,             0.79774,             0.44439,            0.029778,            0.012624,           0.0041294,           0.0048659,           0.0048659,           0.0048659
                 111,            0.027704,            0.031632,           0.0015411,             0.71487,             0.76507,             0.80106,             0.43724,            0.030302,            0.012408,           0.0027345,            0.004796,            0.004796,            0.004796
                 112,            0.027985,            0.033268,           0.0013612,             0.66743,             0.79378,             0.79843,              0.4451,            0.030222,            0.012681,           0.0026362,           0.0047263,           0.0047263,           0.0047263
                 113,            0.027441,            0.032418,           0.0011467,             0.78618,             0.71872,             0.80559,             0.44986,            0.030092,             0.01248,           0.0034315,           0.0046568,           0.0046568,           0.0046568
                 114,             0.02785,            0.032711,           0.0014444,             0.81062,             0.72888,             0.80623,               0.433,            0.030543,            0.012646,           0.0024621,           0.0045875,           0.0045875,           0.0045875
                 115,            0.028034,            0.034609,           0.0012721,             0.75883,             0.76556,             0.80091,             0.43577,            0.030453,              0.0126,           0.0022897,           0.0045184,           0.0045184,           0.0045184
                 116,            0.027701,            0.033408,           0.0011728,             0.75246,             0.79215,              0.8123,             0.43823,            0.029793,            0.012554,           0.0022404,           0.0044495,           0.0044495,           0.0044495
                 117,              0.0277,            0.031648,           0.0010829,             0.76717,             0.77768,             0.82067,              0.4581,            0.030181,            0.012433,           0.0015889,           0.0043809,           0.0043809,           0.0043809
                 118,            0.027494,            0.032314,           0.0013476,             0.81759,             0.75625,              0.8211,             0.43032,            0.031273,            0.012495,           0.0022239,           0.0043126,           0.0043126,           0.0043126
                 119,            0.027476,            0.033405,           0.0011476,             0.74336,             0.78669,             0.80838,             0.44372,            0.030919,            0.012471,           0.0034595,           0.0042445,           0.0042445,           0.0042445
                 120,             0.02729,            0.031221,            0.001005,             0.77708,             0.75998,             0.80246,             0.43911,             0.03144,            0.012435,           0.0024364,           0.0041768,           0.0041768,           0.0041768
                 121,            0.027542,            0.033413,          0.00098302,             0.80875,             0.73426,             0.80768,             0.45407,            0.030306,            0.012329,           0.0023727,           0.0041094,           0.0041094,           0.0041094
                 122,            0.027267,            0.030602,           0.0018872,             0.74645,             0.72926,             0.80331,             0.44936,            0.030597,            0.012423,           0.0024555,           0.0040424,           0.0040424,           0.0040424
                 123,            0.027357,            0.034036,            0.001496,             0.74605,             0.75772,             0.80973,             0.45001,            0.030111,            0.012435,           0.0016894,           0.0039757,           0.0039757,           0.0039757
                 124,            0.026942,            0.031132,           0.0013814,             0.70854,             0.80429,             0.80386,             0.45309,            0.030205,            0.012491,            0.001357,           0.0039094,           0.0039094,           0.0039094
                 125,            0.027201,            0.031346,           0.0012541,              0.8019,             0.72996,             0.79532,             0.45247,            0.030986,            0.012576,           0.0016545,           0.0038434,           0.0038434,           0.0038434
                 126,            0.026873,            0.032654,           0.0012079,             0.81504,             0.73707,             0.81945,             0.45402,            0.029765,            0.012942,           0.0011952,           0.0037779,           0.0037779,           0.0037779
                 127,             0.02642,             0.03008,           0.0010453,             0.79975,             0.78572,             0.83109,             0.46704,            0.029654,            0.012553,           0.0025076,           0.0037128,           0.0037128,           0.0037128
                 128,            0.026681,            0.030427,            0.001279,             0.79865,              0.7658,             0.81173,             0.45223,            0.030413,             0.01237,           0.0018609,           0.0036482,           0.0036482,           0.0036482
                 129,            0.026529,            0.032068,           0.0011163,             0.76652,             0.77432,             0.80642,             0.44595,            0.029696,            0.012447,           0.0013362,            0.003584,            0.003584,            0.003584
                 130,            0.026731,             0.03029,           0.0010399,             0.76245,             0.76423,             0.81967,             0.45626,             0.03006,            0.012725,           0.0013276,           0.0035203,           0.0035203,           0.0035203
                 131,            0.026655,            0.031396,          0.00089436,             0.79095,             0.75131,             0.80656,             0.45707,            0.030141,            0.012543,          0.00058953,            0.003457,            0.003457,            0.003457
                 132,            0.026876,            0.030582,           0.0010512,             0.76938,             0.77415,             0.80441,             0.45593,            0.030068,            0.012702,           0.0027815,           0.0033943,           0.0033943,           0.0033943
                 133,            0.026252,            0.032514,             0.00151,             0.81792,             0.72878,             0.80062,             0.44321,            0.030166,            0.012693,           0.0016327,           0.0033321,           0.0033321,           0.0033321
                 134,            0.026441,            0.032823,           0.0010905,             0.76987,             0.73725,             0.78224,             0.44245,            0.030711,            0.012887,           0.0015404,           0.0032704,           0.0032704,           0.0032704
                 135,            0.026206,            0.033416,          0.00087121,             0.73108,             0.80451,             0.80987,             0.44634,            0.030848,            0.012605,           0.0019822,           0.0032093,           0.0032093,           0.0032093
                 136,            0.025851,            0.030528,          0.00070039,             0.83094,             0.73223,             0.81588,             0.45802,            0.030742,            0.012885,           0.0022693,           0.0031488,           0.0031488,           0.0031488
                 137,            0.025905,            0.029776,           0.0010933,             0.76825,             0.78596,             0.82181,              0.4687,            0.029961,             0.01264,           0.0024148,           0.0030888,           0.0030888,           0.0030888
                 138,            0.025934,            0.031393,          0.00081785,             0.75901,             0.78437,             0.80751,             0.45289,            0.029858,            0.012743,           0.0028671,           0.0030294,           0.0030294,           0.0030294
                 139,            0.025592,            0.031637,          0.00090008,             0.81084,             0.77183,             0.83046,             0.46931,             0.02908,             0.01247,           0.0018429,           0.0029706,           0.0029706,           0.0029706
                 140,            0.025855,            0.031572,           0.0011172,             0.78369,             0.79485,              0.8306,             0.47421,            0.030414,            0.012282,           0.0013452,           0.0029125,           0.0029125,           0.0029125
                 141,            0.026336,            0.034226,           0.0010586,             0.77375,             0.76606,             0.81859,             0.45016,            0.029595,            0.012657,          0.00097007,            0.002855,            0.002855,            0.002855
                 142,             0.02599,            0.030268,          0.00092917,             0.74479,             0.80768,             0.82336,             0.46623,            0.029201,            0.012359,           0.0013731,           0.0027981,           0.0027981,           0.0027981
                 143,            0.025957,            0.030855,           0.0011559,             0.80204,             0.70946,             0.79797,             0.45028,            0.029832,            0.012598,            0.001579,           0.0027419,           0.0027419,           0.0027419
                 144,            0.025875,            0.030755,          0.00095721,              0.7387,             0.76466,             0.79639,             0.45185,            0.030021,            0.012659,          0.00047175,           0.0026864,           0.0026864,           0.0026864
                 145,            0.025374,            0.031046,          0.00078503,             0.78776,             0.75918,             0.81079,             0.44829,            0.029319,            0.012596,          0.00053634,           0.0026316,           0.0026316,           0.0026316
                 146,            0.025678,            0.030651,           0.0010051,             0.80639,             0.74587,             0.81579,             0.45591,            0.029262,            0.012491,           0.0013393,           0.0025775,           0.0025775,           0.0025775
                 147,            0.025215,            0.031766,          0.00089414,              0.7978,             0.75022,             0.82261,              0.4555,                0.03,            0.012472,           0.0016241,           0.0025241,           0.0025241,           0.0025241
                 148,            0.025608,            0.030344,           0.0011192,             0.80574,             0.76472,             0.81997,             0.45022,            0.029731,            0.012802,            0.001705,           0.0024714,           0.0024714,           0.0024714
                 149,            0.025475,            0.030376,          0.00097024,             0.77139,             0.75556,             0.80482,              0.4606,            0.030012,            0.012597,            0.002872,           0.0024195,           0.0024195,           0.0024195
                 150,            0.025586,            0.030238,          0.00097156,             0.80069,               0.758,             0.82354,             0.46495,            0.029608,            0.012598,           0.0024122,           0.0023684,           0.0023684,           0.0023684
                 151,            0.024783,            0.031421,          0.00076542,             0.82856,             0.74039,             0.82144,             0.46539,            0.029642,            0.012509,           0.0020525,            0.002318,            0.002318,            0.002318
                 152,            0.025444,            0.030901,          0.00070701,             0.77025,             0.73398,             0.80365,             0.46854,            0.028996,            0.012902,           0.0014312,           0.0022684,           0.0022684,           0.0022684
                 153,            0.025256,            0.029837,          0.00084175,             0.72561,             0.79779,             0.80666,             0.46855,            0.029085,            0.012845,          0.00063142,           0.0022196,           0.0022196,           0.0022196
